Product,Rating,Rating Count,Price,Url
PlayStation 5 Pulse 3D Wireless Headset  ,4.7 out of 5 stars,294  ,$99.00,http://amazon.com/PlayStation-Pulse-3D-Wireless-Headset/dp/B08H99878P/ref=sr_1_26?keywords=ps5&qid=1660426939&sr=8-26
"Wall Mount for PS5 Playstation 5 Disc Edition and Digital Edition (Mounts The Console on Wall Near or Behind TV with Invisible Design), Including 2 Accessory Holders for Controller & Headset (Black)  ",4.8 out of 5 stars,842  ,$29.99,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03527093DEXU6MV4ORV6&url=%2FPlaystation-Invisible-Including-Accessory-Controller%2Fdp%2FB08VW55CSZ%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dps5%26qid%3D1660426939%26sr%3D8-27-spons%26psc%3D1&qualifier=1660426939&id=478526882043073&widgetName=sp_mtf
"Long Cat6a Ethernet Cable 35ft,CableCreation 10Gbps RJ45 LAN Network Cable, Gigabit High Speed Gaming UTP Patch 26AWG Wire for Computer,PS5/PS4, Xbox, Smart TV, Switch, Hub,Router,Patch Panel  ",4.7 out of 5 stars,139  ,$5.93,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0746988159MHFHGVH3CM&url=%2FEthernet-CableCreation-Network-Gigabit-Computer%2Fdp%2FB08GXBK436%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dps5%26qid%3D1660426939%26sr%3D8-28-spons%26psc%3D1&qualifier=1660426939&id=478526882043073&widgetName=sp_mtf
TotalMount Wall Mount for PS5 – Mounts Playstation 5 on a Wall by Your TV (Premium-Grade Wall Mount Kit)  ,4.8 out of 5 stars,"1,115  ",$28.99,http://amazon.com/TotalMount-Wall-Stand-PS5-PlayStation-Premium-Grade/dp/B09BTJJMR1/ref=sr_1_29?keywords=ps5&qid=1660426939&sr=8-29
Razer Quick Charging Stand for PlayStation 5: Quick Charge - Curved Cradle Design - Matches PS5 DualSense Wireless Controller - One-Handed Navigation - USB Powered - Purple (Controller Sold Separately)  ,4.8 out of 5 stars,538  ,$39.99,http://amazon.com/Razer-Quick-Charging-Stand-PlayStation-5/dp/B0B4BKZW7C/ref=sr_1_30?keywords=ps5&qid=1660426939&sr=8-30
"""Midnight Black"" Anti-recoil SMART Rapid Fire Controller Compatible with PS5 Custom Modded Controller all shooter games & more  ",3.4 out of 5 stars,20  ,$169.95,http://amazon.com/Controller-Compatible-Shooter-Midnight-Anti-Recoil/dp/B09DGR8XLG/ref=sr_1_31?keywords=ps5&qid=1660426939&sr=8-31
Kena: Bridge of Spirits - Deluxe Edition (PS5) - PlayStation 5  ,4.8 out of 5 stars,"1,169  ",$36.99,http://amazon.com/Kena-Bridge-Spirits-Deluxe-PS5-PlayStation/dp/B09H73CXNT/ref=sr_1_33?keywords=ps5&qid=1660426939&sr=8-33
"HEYSTOP PS5 Plates for PS5 Accessories, Hard Shockproof Cover PS5 Skins Shell Panels for PS5 Console, Anti-Scratch Dustproof Face Plates Replacement Accessories for Playstation 5 Disc Edition - Black  ",4.6 out of 5 stars,90  ,$35.99,http://amazon.com/Accessories-Anti-Scratch-Replacement-Playstation-Disc-5/dp/B09V27FXFZ/ref=sr_1_34?keywords=ps5&qid=1660426939&sr=8-34
"Thrustmaster T300 RS - Gran Turismo Edition Racing Wheel (PS5,PS4,PC)  ",4.4 out of 5 stars,"2,431  ",$449.99,http://amazon.com/Thrustmaster-T300-RS-Racing-Wheel-PlayStation/dp/B01M1L2NRL/ref=sr_1_35?keywords=ps5&qid=1660426939&sr=8-35
Tom Clancy's Rainbow Six Extraction - PlayStation 5  ,4.2 out of 5 stars,104  ,$11.99,http://amazon.com/Tom-Clancys-Rainbow-Six-Extraction-PlayStation/dp/B0973JN7JP/ref=sr_1_36?keywords=ps5&qid=1660426939&sr=8-36
